Current Density (A/cm2),Potential (V),HFR (Ωcm2)
0.0100189208984375,1.3873291015625,0.10719010907008422
0.014910888671875,1.39862060546875,0.10751736193903272
0.0199432373046875,1.40655517578125,0.10741461013252895
0.03001708984375,1.41632080078125,0.10751331962395493
0.039947509765625,1.4239501953125,0.1074461712543552
0.050048828125,1.42974853515625,0.10737607404294225
0.0750732421875,1.4404296875,0.1076916787158383
0.0999755859375,1.448974609375,0.107699100109507
0.150054931640625,1.46270751953125,0.1075069993249688
0.20013427734375,1.474609375,0.10758861343346199
0.3001708984375,1.49444580078125,0.10767730516807143
0.40020751953125,1.512451171875,0.10757998571446778
0.50048828125,1.52923583984375,0.10785739710063091
0.75042724609375,1.56707763671875,0.10798243126322958
1.0003662109375,1.602783203125,0.10793596189236533
1.500244140625,1.67022705078125,0.108236234912419
2.0004272460937598,1.7352294921875,0.10826237678677915
3.00048828125,1.85943603515625,0.10813456745013912
3.9999389648437598,1.97967529296875,0.10808555245202252
