Current Density (A/cm2),Potential (V),HFR (Ωcm2)
0.0061401367999999994,1.380615234,0.10713448847011058
0.0110107422,1.394958496,0.10737357124434507
0.016040039,1.404418945,0.10683152198249181
0.0261169434,1.416625977,0.10700512497523454
0.0360229492,1.425170898,0.10707531904955711
0.046118164,1.432189941,0.1074171399936437
0.0711975098,1.444091797,0.10735010560419131
0.096069336,1.453552246,0.10747950397949674
0.1461486816,1.467895508,0.10745068581226033
0.1961975098,1.480407715,0.10754958171356724
0.2962341308,1.500244141,0.10739963711367505
0.3963012696,1.517944336,0.10773461157117796
0.4964904786,1.53503418,0.10793988764733395
0.746459961,1.572265625,0.10798808068471338
0.9963989258,1.60736084,0.10779619031696047
1.4959716796,1.672363281,0.10808949044554456
1.9961547852,1.736755371,0.10837165701372999
2.99621582,1.858215332,0.10835592802615934
3.995666504,1.976013184,0.1082973747995283
