Current Density (A/cm2),Potential (V),HFR (Ωcm2)
0.009954833984375,1.402587890625,0.11466310143435778
0.014825439453125,1.41326904296875,0.11479030347583008
0.019854736328125,1.42059326171875,0.11467039188760235
0.0299163818359376,1.43035888671875,0.11472897430433798
0.039813232421875,1.4373779296875,0.11483199914638823
0.049957275390625,1.4434814453125,0.1146016052924602
0.074981689453125,1.4544677734375,0.11496776633524956
0.099853515625,1.46331787109375,0.11482783839949494
0.14990234375,1.47491455078125,0.11350139429476104
0.199951171875,1.49078369140625,0.11500483956746055
0.2999267578125,1.51031494140625,0.11515822871560354
0.39990234375,1.52862548828125,0.11506012463405423
0.50018310546875,1.54632568359375,0.11533118575192595
0.7501220703125,1.58538818359375,0.11546945319505197
0.999755859375,1.622314453125,0.11558321455193346
1.49932861328125,1.6925048828125,0.11582158705830693
1.99920654296875,1.76025390625,0.11588708847708512
2.9986572265625,1.890869140625,0.11593131684532786
3.9974975585937598,2.01812744140625,0.11588901150565392
