Current Density (A/cm2),Potential (V),HFR (Ωcm2)
0.0100189208984375,1.40411376953125,0.11748022669427871
0.01490478515625,1.41571044921875,0.1176140696985622
0.019940185546875,1.4239501953125,0.11385704183568501
0.0300201416015624,1.43585205078125,0.1172087545433994
0.0399444580078124,1.4447021484375,0.11781397171570689
0.050018310546875,1.45172119140625,0.11762143176959554
0.0750732421875,1.46392822265625,0.11736283307762578
0.099945068359375,1.47369384765625,0.11728296043936509
0.1500244140625,1.4886474609375,0.11744048108470358
0.20010375976562603,1.50115966796875,0.11728886935379844
0.30010986328125,1.52252197265625,0.11754956593240931
0.400177001953126,1.541748046875,0.11747411617634182
0.50018310546875,1.55975341796875,0.11791909821221282
0.7501220703125,1.600341796875,0.11806747814488827
1.00006103515625,1.63909912109375,0.11817536183046573
1.49993896484375,1.71173095703125,0.1184086417363038
2.0001220703125,1.78192138671875,0.11844443796078027
3.0001831054687598,1.91680908203125,0.11842369179392409
3.9999389648437598,2.04833984375,0.1185238537609429
